,subject,date,-20_to_0,0_to_10,date_int,cage
0,1.1,20220508,0.31156410256410255,0.7757435897435897,20220508,1
1,1.1,20220509,0.30695,0.821,20220509,1
2,1.1,20220510,0.47636249999999997,0.9103,20220510,1
3,1.1,20220511,0.5971375000000001,0.9236749999999999,20220511,1
4,1.4,20220508,0.1472948717948718,0.30115384615384605,20220508,1
5,1.4,20220509,0.3513625000000001,0.5378500000000002,20220509,1
6,1.4,20220510,0.3875125,0.79695,20220510,1
7,1.4,20220511,0.567375,0.7333,20220511,1
8,2.2,20220508,0.41051282051282056,0.7888717948717949,20220508,1
9,2.2,20220509,0.3737625,0.780475,20220509,1
10,2.2,20220510,0.3044875,0.85735,20220510,1
11,2.2,20220511,0.5370250000000001,0.7350249999999999,20220511,1
12,2.3,20220508,0.18482051282051282,0.47158974358974365,20220508,1
13,2.3,20220509,0.23745,0.590975,20220509,1
14,2.3,20220510,0.3648625,0.7660250000000001,20220510,1
15,2.3,20220511,0.4004625,0.76465,20220511,1
