,(P)Portentry,(Q)USdelivery,(R)UStime,(W)ITIvalues,(S)CSpresentation,(N)Portexit,(K)CStype,(B)shockintensity,date,subject,file_path,tone_playing_time_in_video,port_entry_time_in_video
2541,329.87,64.0,399.0,0.0,60.01,332.03,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,71.00999999999999,340.87
2542,356.64,389.0,399.0,0.0,140.01,356.68,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,151.01,367.64
2543,382.57,489.0,399.0,0.0,230.01,383.32,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,241.01,393.57
2544,389.84,584.0,399.0,0.0,310.01,410.48,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,321.01,400.84
2545,410.75,674.0,399.0,0.0,385.01,411.59,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,396.01,421.75
2546,411.71,754.0,399.0,0.0,485.01,412.8,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,496.01,422.71
2547,415.91,844.0,399.0,0.0,580.01,416.03,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,591.01,426.91
2548,416.08,944.0,399.0,0.0,670.01,421.43,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,681.01,427.08
2549,422.09,1034.0,399.0,0.0,750.01,422.21,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,761.01,433.09
2550,422.41,1154.0,399.0,0.0,840.01,423.68,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,851.01,433.41
2551,429.66,1244.0,399.0,0.0,940.01,433.29,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,951.01,440.66
2552,433.71,1329.0,399.0,0.0,1030.01,433.96,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1041.01,444.71
2553,434.35,1419.0,399.0,0.0,1150.01,435.92,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1161.01,445.35
2554,436.16,1514.0,399.0,0.0,1240.01,436.21,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1251.01,447.16
2555,436.5,1634.0,399.0,0.0,1325.01,436.52,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1336.01,447.5
2556,436.54,1714.0,399.0,0.0,1415.01,436.64,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1426.01,447.54
2557,436.71,1809.0,399.0,0.0,1510.01,437.58,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1521.01,447.71
2558,437.6,,,0.0,1630.01,441.43,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1641.01,448.6
2559,442.52,,,0.0,1710.01,446.12,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1721.01,453.52
2560,470.33,,,0.0,1805.01,471.33,1.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,1816.01,481.33
2561,471.39,,,0.0,8000.0,472.19,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,482.39
2562,472.21,,,0.0,9000.0,472.23,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,483.21
2563,472.82,,,0.0,8000.0,472.89,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,483.82
2564,474.95,,,0.0,7500.0,474.97,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,7511.0,485.95
2565,474.99,,,0.0,10000.0,475.69,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,10011.0,485.99
2566,475.85,,,0.0,9500.0,475.98,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9511.0,486.85
2567,476.17,,,0.0,9000.0,476.54,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,487.17
2568,476.94,,,0.0,8000.0,478.78,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,8011.0,487.94
2569,479.46,,,0.0,9000.0,479.62,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,490.46
2570,479.78,,,0.0,10000.0,481.36,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,10011.0,490.78
2571,481.41,,,0.0,9000.0,485.22,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,492.41
