,(P)Portentry,(Q)USdelivery,(R)UStime,(W)ITIvalues,(S)CSpresentation,(N)Portexit,(K)CStype,(B)shockintensity,date,subject,file_path,tone_playing_time_in_video,port_entry_time_in_video
0,1.89,64.0,399.0,0.0,60.01,3.07,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,69.00999999999999,10.89
1,3.36,144.0,399.0,0.0,140.01,3.5,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,149.01,12.36
2,4.99,234.0,399.0,0.0,230.01,6.8,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,239.01,13.99
3,7.57,314.0,399.0,0.0,310.01,7.61,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,319.01,16.57
4,8.0,389.0,399.0,0.0,385.01,8.51,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,394.01,17.0
5,14.99,489.0,399.0,0.0,485.01,15.07,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,494.01,23.990000000000002
6,15.12,584.0,399.0,0.0,580.01,15.16,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,589.01,24.119999999999997
7,15.18,674.0,399.0,0.0,670.01,16.21,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,679.01,24.18
8,17.32,754.0,399.0,0.0,750.01,20.21,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,759.01,26.32
9,24.13,844.0,399.0,0.0,840.01,26.08,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,849.01,33.129999999999995
10,26.26,944.0,399.0,0.0,940.01,26.55,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,949.01,35.260000000000005
11,26.64,1034.0,399.0,0.0,1030.01,28.92,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1039.01,35.64
12,30.12,1154.0,399.0,0.0,1150.01,30.98,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1159.01,39.120000000000005
13,31.0,1244.0,399.0,0.0,1240.01,37.78,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1249.01,40.0
14,38.45,1329.0,399.0,0.0,1325.01,38.86,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1334.01,47.45
15,38.92,1419.0,399.0,0.0,1415.01,38.95,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1424.01,47.92
16,38.97,1514.0,399.0,0.0,1510.01,39.0,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1519.01,47.97
17,39.06,1634.0,399.0,0.0,1630.01,41.43,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1639.01,48.06
18,41.45,1714.0,399.0,0.0,1710.01,43.89,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1719.01,50.45
19,44.06,1809.0,399.0,0.0,1805.01,44.24,1.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,1814.01,53.06
79,169.5,,,0.0,,175.0,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,178.5
80,175.14,,,0.0,,181.77,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,184.14
81,181.85,,,0.0,,187.63,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,190.85
82,188.2,,,0.0,,190.5,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,197.2
83,191.21,,,0.0,,192.16,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,200.21
84,192.33,,,0.0,,192.35,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,201.33
85,195.81,,,0.0,,197.63,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,204.81
86,198.47,,,0.0,,199.68,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,207.47
87,201.85,,,0.0,,201.97,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,210.85
88,202.02,,,0.0,,202.06,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,211.02
89,202.48,,,0.0,,202.53,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,211.48
90,202.55,,,0.0,,206.17,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,211.55
91,207.71,,,0.0,,207.76,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,216.71
92,207.85,,,0.0,,208.01,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,216.85
93,209.87,,,0.0,,209.9,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,218.87
94,210.0,,,0.0,,211.18,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,219.0
95,211.92,,,0.0,,212.07,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,220.92
96,212.11,,,0.0,,212.65,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,221.11
97,212.67,,,0.0,,212.78,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,221.67
98,212.86,,,0.0,,212.89,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,221.86
99,214.33,,,0.0,,214.46,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,223.33
100,214.54,,,0.0,,214.7,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,223.54
101,214.77,,,0.0,,217.16,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,223.77
102,218.87,,,0.0,,220.16,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,227.87
103,220.9,,,0.0,,221.17,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,229.9
104,221.57,,,0.0,,222.34,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,230.57
105,222.37,,,0.0,,229.14,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,231.37
106,229.45,,,0.0,,232.79,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,238.45
107,233.0,,,0.0,,233.24,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,242.0
108,234.03,,,0.0,,236.2,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,243.03
109,236.78,,,0.0,,236.81,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,245.78
110,236.98,,,0.0,,238.16,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,245.98
111,238.87,,,0.0,,239.0,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,247.87
112,239.1,,,0.0,,246.03,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,248.1
113,246.17,,,0.0,,246.2,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,255.17
114,246.22,,,0.0,,246.44,0.0,0.0,20220520,2.1 v 1.3,./data/med_pc/2022-05-20_10h24m_Subject 2.1 v 1.3.txt,,255.22
